
"永元"  914000 
"元永"  1130000 
"永建"  411000 
"建永"  136000 
"永寿"  4390 
"寿永"  331000 
"永安"  21200 
"安永"  199000 
"永初"  159000 
"初永"  49300 
"元永"  1130000 
"永元"  914000 
"元建"  1600000 
"建元"  1210000 
"天陛"  10300 
"陛天"  2380 
"治達"  21600 
"達治"  7480 
"治乱"  1780000 
"乱治"  231000 
"治政"  13900 
"政治"  981000 
"治合"  48100 
"合治"  210000 
"応処"  1630 
"処応"  330 
"応中"  10900 
"中応"  18200 
"応得"  919 
"得応"  18600 
"正係"  555000 
"係正"  570000 
"長幼"  15800 
"幼長"  45100 
"長射"  57000 
"射長"  33100 
"文作"  728000 
"作文"  254000 
"和順"  1560000 
"順和"  495000 
"和清"  4010000 
"清和"  587000 
"安新"  4480000 
"新安"  918000 
"安永"  199000 
"永安"  21200 
"延憲"  1070 
"憲延"  13700 
"延連"  5740 
"連延"  47900 
"延焼"  1960 
"焼延"  1550 
"寛忠"  14000 
"忠寛"  2950 
"寛約"  16200 
"約寛"  5520 
"寛容"  45400 
"容寛"  2830 
"寛信"  2420 
"信寛"  1240 
"寛誠"  10100 
"誠寛"  238 
"寛温"  444 
"温寛"  428 
"徳体"  143000 
"体徳"  4320 
"徳訓"  680 
"訓徳"  1560 
"徳姿"  407 
"姿徳"  443 
"徳昭"  2210 
"昭徳"  2600 
"徳敬"  413 
"敬徳"  59800 
"保后"  1050000 
"后保"  1810000 
"保守"  112000 
"守保"  7140 
"仁愛"  43500 
"愛仁"  108000 
"仁誠"  243000 
"誠仁"  3720 
"仁親"  113000 
"親仁"  4340 
"仁心"  9080000 
"心仁"  903000 
"仁忠"  10800 
"忠仁"  11100 
"仁信"  55900 
"信仁"  85800 
"平去"  242000 
"去平"  732000 
"平劇"  65300 
"劇平"  10300 
"康管"  79900 
"管康"  119000 
"宝亀"  2120 
